Date,Open,High,Low,Close,Volume,MarketCap
1999-03-31,445.0811410388976,510.1428360744839,431.7730670543458,490.18072509765625,1322933,130222212278.56444
1999-04-01,542.6737036853103,544.1523786272321,468.739956589219,476.1333312988281,483233,130222212278.56444
1999-04-05,493.87747268549816,496.83482282133946,428.8157696969894,444.34185791015625,324917,130222212278.56444
1999-04-06,445.82050439375865,477.2423475724232,414.0289924718157,467.2612915039063,353900,130222212278.56444
1999-04-07,473.9152956456946,480.5693325580367,436.2090864757564,440.6451110839844,156617,130222212278.56444
1999-04-08,440.6451344457166,444.34182181522766,417.7256727547481,428.8157348632813,147767,130222212278.56444
1999-04-09,425.85834565033787,449.5171426309122,400.72087385847766,437.687744140625,141933,130222212278.56444
1999-04-12,414.7683274374203,468.7399636280293,408.11429009885205,452.8442077636719,182833,130222212278.56444
1999-04-13,465.7826101853072,507.92484634493024,456.9105604674919,482.0480346679688,240033,130222212278.56444
1999-04-14,546.3703112711042,587.0338662371539,502.7494068529782,550.8063354492188,627933,130222212278.56444
1999-04-15,555.981744088664,555.981744088664,452.4745044976893,472.4366149902344,339117,130222212278.56444
1999-04-16,479.09067292806736,502.7494715911818,431.7730756018385,481.3086853027344,176683,130222212278.56444
1999-04-19,483.52673480008,485.0054098300496,343.0526069529619,354.1426696777344,229150,130222212278.56444
1999-04-20,354.14267170847893,408.1143106118588,343.0526089201132,399.9815979003906,264100,130222212278.56444
1999-04-21,422.9010126510723,449.5171603004404,399.9815521752274,440.6451110839844,150483,130222212278.56444
1999-04-22,479.4603220039031,483.5266778574442,434.7304076149499,451.7351684570313,145683,130222212278.56444
1999-04-23,509.0338005586104,566.332449132746,485.0053350275213,520.4935302734375,741767,130222212278.56444
1999-04-26,617.7164173955503,718.2663070015285,595.9059634001359,714.199951171875,1352367,130222212278.56444
1999-04-27,728.2473471032569,828.0578972138554,710.503249305817,767.0625610351562,1196750,130222212278.56444
1999-04-28,738.9677795220998,795.1574255888128,686.1051519724948,715.6786499023438,448867,130222212278.56444
1999-04-29,680.5601471431671,821.4039364215738,680.1904784049036,815.1195678710938,721900,130222212278.56444
1999-04-30,896.0769945105009,975.925439565892,798.4844505539116,960.3993530273438,845467,130222212278.56444
1999-05-03,901.6221187735374,939.6980016081724,821.4039966850349,823.6220092773438,873317,130222212278.56444
1999-05-04,843.584048313881,887.2049587876049,772.6076516108726,792.5697631835938,692750,130222212278.56444
1999-05-05,835.0815852316217,899.0342697137246,710.5032345352708,894.2285766601562,1264033,130222212278.56444
1999-05-06,875.3755095108696,899.0343070652174,815.4891782014266,824.7308959960938,632083,130222212278.56444
1999-05-07,853.1953619003752,853.565030601372,766.6928858671483,772.7924194335938,569683,130222212278.56444
1999-05-10,757.08154296875,780.001003742218,715.6786460876465,757.08154296875,449167,130222212278.56444
1999-05-11,795.5271025866997,797.005777498571,727.508056640625,727.508056640625,286467,130222212278.56444
1999-05-12,726.0293628753178,762.9962347121466,721.5933382548983,745.2521362304688,240517,130222212278.56444
1999-05-13,768.17159443922,780.7403308256173,715.6786365901492,718.635986328125,187167,130222212278.56444
1999-05-14,709.7639889705882,795.5271376378677,703.8492890625,785.5460815429688,792600,130222212278.56444
1999-05-17,777.7829828425196,782.5886761775732,733.4227366727941,779.2616577148438,341400,130222212278.56444
1999-05-18,776.3042691653753,826.5792123113235,755.2331532880295,805.138427734375,418517,130222212278.56444
1999-05-19,808.8350853635554,853.1953277052495,797.0056874057703,842.8446044921875,226583,130222212278.56444
1999-05-20,857.2617311841387,857.6313998909884,775.5649469703851,794.7877197265625,174400,130222212278.56444
