Date,Open,High,Low,Close,Volume,MarketCap
1980-11-03,0.1262378394603729,0.1262378394603729,0.1232497252203647,0.1262378394603729,4460400,235342302.40299532
1980-11-05,0.1273581385612487,0.1355748078629157,0.1273581385612487,0.1273581385612487,8208000,237430850.26556295
1980-11-06,0.1273582588865064,0.1273582588865064,0.123249761674843,0.1247438192367553,2613600,232557034.84165397
1980-11-07,0.1243704120833292,0.1243704120833292,0.1228763456091106,0.12399672716856,1987200,231164248.2715757
1980-11-10,0.1239967409831581,0.1251171226674303,0.1239967409831581,0.1243704259395599,3261600,231860926.30051085
1980-11-11,0.1251171729004355,0.1303460524158035,0.1251171729004355,0.1284786462783813,6663600,239519787.0466229
1980-11-12,0.129225685885115,0.1344545656427146,0.129225685885115,0.1329604983329773,8607600,247875200.8121549
1980-11-13,0.1337074929617027,0.1363219320774078,0.1337074929617027,0.1363219320774078,6080400,254141844.47598064
1980-11-14,0.1363218563424887,0.1378155857937674,0.134454451701065,0.1359481811523437,6264000,253445069.2174224
1980-11-17,0.1348278224468231,0.1348278224468231,0.1340807893001813,0.1348278224468231,7797600,251356410.23528552
1980-11-18,0.1348278665345574,0.138562687279712,0.1344545181353484,0.1370689570903778,8704800,255534506.03654367
1980-11-19,0.1370689570903778,0.1389363626544908,0.1366952720986704,0.1370689570903778,17442000,255534506.03654367
1980-11-20,0.1370689122698231,0.1374422605469499,0.1344544741696964,0.1348278224468231,4428000,251356410.23528552
1980-11-21,0.1348277999158016,0.1359481811523437,0.1348277999158016,0.1359481811523437,15076800,253445069.2174224
1980-11-24,0.1359482554833062,0.1359482554833062,0.1337074917850638,0.1355749070644378,10303200,252749182.91541764
1980-11-25,0.135574832937607,0.1363218563424887,0.134454451701065,0.1359481811523437,7128000,253445069.2174224
1980-11-26,0.1359482940898975,0.1359482940898975,0.1348279119226103,0.1352012604475021,8812800,252052602.11610556
1980-11-28,0.135574832937607,0.1359481811523437,0.135574832937607,0.1359481811523437,4633200,253445069.2174224
1980-12-01,0.1359482038705916,0.1359482038705916,0.1337074410230545,0.1348278224468231,12592800,251356410.23528552
1980-12-02,0.1344545656427146,0.1344545656427146,0.1318401257639148,0.1329604983329773,6534000,247875200.8121549
1980-12-03,0.1329604602720599,0.1344545271541096,0.1314664030069395,0.1340808421373367,6166800,249963832.01439944
1980-12-04,0.1340808402039322,0.1359482554833062,0.1340808402039322,0.1355749070644378,8143200,252749182.91541764
1980-12-05,0.1348279141738403,0.1348279141738403,0.1322134742950405,0.1329604983329773,7808400,247875200.8121549
1980-12-08,0.1322133698568177,0.1322133698568177,0.1277315176774676,0.1303459554910659,8748000,243000968.68986124
1980-12-09,0.1303459326689011,0.1314663137737153,0.1284785282470361,0.1310929656028747,7365600,244393602.470532
1980-12-10,0.1310929656028747,0.1337074029587134,0.1310929656028747,0.1310929656028747,9925200,244393602.470532
1980-12-11,0.1292255893604593,0.1292255893604593,0.1247437369885022,0.1258641183376312,9774000,234645582.70422173
1980-12-12,0.1258642065206973,0.1292256798986431,0.1254908580068673,0.1284786462783813,5778000,239519787.0466229
1980-12-15,0.1299727027709526,0.1314664334058761,0.1299727027709526,0.1314664334058761,11383200,245089849.91113657
1980-12-16,0.1314664107837394,0.1314664107837394,0.1284786230523498,0.1295990049839019,61732800,241608446.02875972
1980-12-17,0.1295989093518502,0.1314663137737153,0.1288522033932465,0.1310929656028747,5929200,244393602.470532
1980-12-18,0.1314663735375185,0.1355748786290055,0.1314663735375185,0.1337074637413025,8964000,249267751.25314867
1980-12-19,0.1337074937130848,0.1352012240026134,0.133333818313241,0.1340808421373367,2062800,249963832.01439944
1980-12-22,0.1352012149337663,0.1374423054895867,0.1352012149337663,0.1370689570903778,5032800,255534506.03654367
1980-12-23,0.1374422467750709,0.1404300328529446,0.1374422467750709,0.1400566846132278,7657200,261104457.7814881
1980-12-24,0.140056727768865,0.1452852780808204,0.1396830524385775,0.1445385813713073,7808400,269459954.8866968
1980-12-26,0.1445386113351873,0.1475263989530766,0.1426711959893596,0.1449119597673416,3596400,270156035.6479478
1980-12-29,0.1449119080590563,0.1467793131216166,0.1415504366159439,0.1415504366159439,5659200,263889225.30476817
1980-12-30,0.14155045789002,0.1419241428375244,0.1393097041917556,0.1419241428375244,2667600,264585917.22364944
1980-12-31,0.1419242182736165,0.1426712423563003,0.1408038360205109,0.1426712423563003,4752000,265978717.68367383
1981-01-02,0.142671182947342,0.1445385981224635,0.1422975075737479,0.1430445313453674,3261600,266674631.7655709
1981-01-05,0.1430445653966044,0.1460323630695335,0.1419241929602589,0.1456590145826339,6717600,271548752.7682952
1981-01-06,0.1456590156407315,0.1486468037184338,0.1456590156407315,0.1464060395956039,12387600,272941414.3288582
1981-01-07,0.1464059636398683,0.1464059636398683,0.1344544809369348,0.1434178501367569,24094800,267370601.40725264
1981-01-08,0.1434178512954301,0.1456589412493324,0.1415504366159439,0.1415504366159439,15411600,263889225.30476817
1981-01-09,0.1415504733457327,0.1437915638811575,0.1389363613900636,0.1396830677986145,17280000,260407932.5419606
1981-01-12,0.140056632130856,0.1426710689893246,0.140056632130856,0.1408036649227142,19839600,262497036.00237417
1981-01-13,0.1404300915658038,0.1404300915658038,0.1385626860186855,0.1396830677986145,14245200,260407932.5419606
1981-01-14,0.1396829928947028,0.1408037010492276,0.1393096446990966,0.1393096446990966,8294400,259711768.44103277
1981-01-15,0.1396830017747967,0.1411770582199096,0.1396830017747967,0.1411770582199096,4903200,263193144.5435173
1981-01-16,0.1422974910823207,0.1452852780808204,0.1422974910823207,0.1445385813713073,8985600,269459954.8866968
1981-01-19,0.1464059789114335,0.1490204174158591,0.1464059789114335,0.148646742105484,10864800,277118704.5132398
1981-01-20,0.1486467283477905,0.1538756048726938,0.1482733800474834,0.1490204036235809,12117600,277815313.0924442
1981-01-21,0.1490203946384865,0.1501407760642645,0.1467793048114672,0.1497671008110046,12636000,279207363.49537665
1981-01-22,0.1497671237025092,0.1501407990128843,0.1475263605084587,0.148646742105484,4557600,277118704.5132398
1981-01-23,0.1486467567846639,0.1505141622113361,0.1475263750769986,0.1482734084129333,7689600,276422707.09166574
1981-01-26,0.1475264216570188,0.1475264216570188,0.1464060395956039,0.1464060395956039,5983200,272941414.3288582
1981-01-27,0.1464059722011525,0.1501407921314239,0.1464059722011525,0.1501407921314239,5562000,279904027.6343656
1981-01-28,0.1501408792612064,0.1531286676974272,0.1497672037511066,0.1523816436529159,5421600,284081595.6176701
1981-01-29,0.1523816001312483,0.1535019820071111,0.1512612182553855,0.1531286239624023,5313600,285474173.8385562
1981-01-30,0.153875692541339,0.1583575480436228,0.153875692541339,0.1568634808063507,17226000,292436981.6033098
1981-02-02,0.15611646575058,0.15611646575058,0.1508879129226497,0.1523816436529159,10897200,284081595.6176701
1981-02-03,0.1523815907492324,0.1535019725561142,0.1516345573471434,0.1535019725561142,13478400,286170199.0400225
1981-02-04,0.1535019215013396,0.156490034881991,0.1527552153231801,0.1553693264722824,22474800,289651464.0229378
1981-02-05,0.1553693791971317,0.1557430641969509,0.1538756489753723,0.1538756489753723,12560400,286866835.3991192
1981-02-06,0.1538756406217646,0.1572371128581919,0.1535019652591603,0.1546226739883422,29484000,288259496.95968205
1981-02-09,0.1546226523764988,0.1546226523764988,0.1482733937706223,0.148646742105484,5691600,277118704.5132398
1981-02-10,0.148646742105484,0.1497671237025092,0.1471530121735971,0.148646742105484,8434800,277118704.5132398
1981-02-11,0.1486468114992231,0.1490204869840435,0.1441649560433154,0.1452853381633758,6652800,270852116.40919846
1981-02-12,0.1434179211159903,0.1434179211159903,0.1366953019324554,0.137442335486412,9860400,256230586.7977944
1981-02-13,0.1374423127268828,0.1393097280062568,0.132960458354811,0.1355749070644378,9212400,252749182.91541764
1981-02-17,0.1375145416349524,0.1416814854951844,0.1371355104103028,0.1409240961074829,12042000,262721553.0919073
1981-02-18,0.1424391389030259,0.1454696804285049,0.1424391389030259,0.1454696804285049,6620400,271195781.45678735
1981-02-19,0.1454696023312131,0.1462273129032634,0.1424390624327198,0.1428180932998657,6771600,266252488.52224705
1981-02-20,0.1428182118555342,0.143954622584855,0.1386509270585154,0.1394086480140686,4849200,259896338.04544485
1981-02-23,0.139408626516992,0.1431968795480693,0.13751450487871,0.1416814476251602,5162400,264133466.11783105
