Date,Open,High,Low,Close,Volume,MarketCap
1980-04-14,1.6197897775816306,1.6197897775816306,1.6032050848007202,1.6032050848007202,133179,356799127.28890896
1980-04-15,1.6032053685921162,1.6032053685921162,1.5810921370104765,1.5921486616134644,142692,354338480.0632048
1980-04-16,1.581092146934983,1.581092146934983,1.553450744066176,1.5589789152145386,457479,346956432.26424694
1980-04-17,1.5589792305485974,1.5589792305485974,1.503696322441101,1.503696322441101,449696,334653090.0138807
1980-04-18,1.503695758683441,1.51475219025916,1.4594693028780314,1.470526099205017,270682,327270936.09307766
1980-04-21,1.4594699275571552,1.4594699275571552,1.4428852275011212,1.4484134912490845,140098,322349694.7025919
1980-04-22,1.4594695548482035,1.5589789152145386,1.4594695548482035,1.5589789152145386,378782,346956432.26424694
1980-04-23,1.5589788367288262,1.592148591451752,1.5423937769917078,1.564507007598877,315652,348186729.3466377
1980-04-24,1.564506799601281,1.6142616074465377,1.558978629466188,1.6032050848007202,84750,356799127.28890896
1980-04-25,1.6032054538591771,1.6474315546233105,1.5976769177001504,1.6308468580245972,35457,362950904.5359373
1980-04-28,1.630847072734901,1.6419035993815891,1.6197903637125155,1.6363754272460938,110694,364181307.7401733
1980-04-29,1.6363755373807365,1.664016947045683,1.6253186452384805,1.6529604196548462,255981,367872358.1701136
1980-04-30,1.6529598943664523,1.6806014776229858,1.6419031881135786,1.6806014776229858,267223,374023976.2343741
1980-05-01,1.6806023443863805,1.7137719331251196,1.6750736236572266,1.6750736236572266,677138,372793732.2129059
1980-05-02,1.6695440152763552,1.6695440152763552,1.6529593263474702,1.6584876775741575,364081,369102469.5392751
1980-05-05,1.6695460081100464,1.680602906136945,1.6695460081100464,1.6695460081100464,681462,371563541.25236034
1980-05-06,1.6695454500553095,1.6861305179882975,1.6529607468738128,1.6750736236572266,608819,372793732.2129059
1980-05-07,1.6750731793216531,1.6750731793216531,1.6363754272460938,1.6363754272460938,327759,364181307.7401733
1980-05-08,1.636375124776744,1.636375124776744,1.5921486616134644,1.5921486616134644,134044,354338480.0632048
1980-05-09,1.5921490788666943,1.5921490788666943,1.536866076612455,1.547922968864441,79562,344495891.160388
1980-05-12,1.5368659943553182,1.5368659943553182,1.481583086247822,1.503696322441101,614008,334653090.0138807
1980-05-13,1.5036955302156871,1.509223699569702,1.4815823056728106,1.509223699569702,604495,335883227.9135036
1980-05-14,1.5092247643332632,1.5368662689191397,1.5036965910791018,1.531338095664978,443642,340804867.2609091
1980-05-15,1.5313370153003814,1.5313370153003814,1.509223699569702,1.509223699569702,678003,335883227.9135036
1980-05-16,1.5092238883485976,1.5202803196274066,1.4981674570697885,1.5147521495819092,126261,337113604.5872784
1980-05-19,1.5147521495819092,1.5258089456119748,1.5092238883485976,1.5147521495819092,402997,337113604.5872784
1980-05-20,1.5147523711680988,1.5258091688156128,1.5036959382718946,1.5258091688156128,83886,339574384.4652891
1980-05-21,1.5258094658824148,1.5258094658824148,1.498167967915032,1.520280838012695,269818,338344034.32197565
1980-05-22,1.5202803442667487,1.675072573186349,1.5147521741316556,1.6032050848007202,1090513,356799127.28890896
1980-05-23,1.625317570214032,1.6584876775741575,1.625317570214032,1.6584876775741575,1250501,369102469.5392751
1980-05-27,1.6584896572105676,1.6750741835597858,1.6584896572105676,1.6695460081100464,104641,371563541.25236034
1980-05-28,1.669544895398157,1.669544895398157,1.6474316612097233,1.6640167236328125,63130,370332978.8653565
1980-05-29,1.6640168350506626,1.6640168350506626,1.6197903637125155,1.6363754272460938,704812,364181307.7401733
1980-05-30,1.6363744550429964,1.6584876775741575,1.6032047124340485,1.6584876775741575,71778,369102469.5392751
1980-06-02,1.658488582358434,1.658488582358434,1.636375347763453,1.641903519630432,31998,365411604.82256407
1980-06-03,1.641902623894095,1.6584876775741575,1.6197894013629337,1.6584876775741575,316517,369102469.5392751
1980-06-04,1.6584886934340708,1.7027148008346558,1.6529603388211471,1.7027148008346558,223983,378945376.8076277
1980-06-05,1.7027148008346558,1.7579976174610876,1.6971864462217323,1.7027148008346558,204093,378945376.8076277
1980-06-06,1.7027152211697942,1.7027152211697942,1.6695454500553095,1.6750736236572266,180743,372793732.2129059
1980-06-09,1.6750731793216531,1.6750731793216531,1.6363754272460938,1.6363754272460938,113289,364181307.7401733
1980-06-10,1.636375317679034,1.675073067163502,1.636375317679034,1.6640167236328125,154799,370332978.8653565
1980-06-11,1.664017832660307,1.6750741835597858,1.6584896572105676,1.6695460081100464,411645,371563541.25236034
